,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
338,the imitation game,"biography, drama, thriller",world war ii english mathemat geniu alan ture tri crack german enigma code help fellow mathematician,morten tyldum,benedict cumberbatch,keira knightley,matthew goode,allen leech,"the imitation game biography, drama, thriller world war ii english mathemat geniu alan ture tri crack german enigma code help fellow mathematician morten tyldum benedict cumberbatch keira knightley matthew goode allen leech"
339,guardians of the galaxy,"action, adventure, comedy",group intergalact crimin must pull togeth stop fanat warrior plan purg univers,james gunn,chris pratt,vin diesel,bradley cooper,zoe saldana,"guardians of the galaxy action, adventure, comedy group intergalact crimin must pull togeth stop fanat warrior plan purg univers james gunn chris pratt vin diesel bradley cooper zoe saldana"
340,blade runner 2049,"action, drama, mystery",young blade runner ks discoveri longburi secret lead track former blade runner rick deckard who miss thirti year,denis villeneuve,harrison ford,ryan gosling,ana de armas,dave bautista,"blade runner 2049 action, drama, mystery young blade runner ks discoveri longburi secret lead track former blade runner rick deckard who miss thirti year denis villeneuve harrison ford ryan gosling ana de armas dave bautista"
341,her,"drama, romance, sci-fi",near futur lone writer develop unlik relationship oper system design meet everi need,spike jonze,joaquin phoenix,amy adams,scarlett johansson,rooney mara,"her drama, romance, sci-fi near futur lone writer develop unlik relationship oper system design meet everi need spike jonze joaquin phoenix amy adams scarlett johansson rooney mara"
342,bohemian rhapsody,"biography, drama, music",stori legendari british rock band queen lead singer freddi mercuri lead famou perform live aid,bryan singer,rami malek,lucy boynton,gwilym lee,ben hardy,"bohemian rhapsody biography, drama, music stori legendari british rock band queen lead singer freddi mercuri lead famou perform live aid bryan singer rami malek lucy boynton gwilym lee ben hardy"
343,the revenant,"action, adventure, drama",frontiersman fur trade expedit fight surviv maul bear left dead member hunt team,alejandro g. iñárritu,leonardo dicaprio,tom hardy,will poulter,domhnall gleeson,"the revenant action, adventure, drama frontiersman fur trade expedit fight surviv maul bear left dead member hunt team alejandro g. iñárritu leonardo dicaprio tom hardy will poulter domhnall gleeson"
344,the perks of being a wallflower,"drama, romance",introvert freshman taken wing two senior welcom real world,stephen chbosky,logan lerman,emma watson,ezra miller,paul rudd,"the perks of being a wallflower drama, romance introvert freshman taken wing two senior welcom real world stephen chbosky logan lerman emma watson ezra miller paul rudd"
345,tropa de elite 2: o inimigo agora é outro,"action, crime, drama",prison riot formercaptain nascimento high rank secur offic rio de janeiro swept bloodi polit disput involv govern offici paramilitari group,josé padilha,wagner moura,irandhir santos,andré ramiro,milhem cortaz,"tropa de elite 2: o inimigo agora é outro action, crime, drama prison riot formercaptain nascimento high rank secur offic rio de janeiro swept bloodi polit disput involv govern offici paramilitari group josé padilha wagner moura irandhir santos andré ramiro milhem cortaz"
346,the king's speech,"biography, drama, history",stori king georg vi impromptu ascens throne british empir speech therapist help unsur monarch overcom stammer,tom hooper,colin firth,geoffrey rush,helena bonham carter,derek jacobi,"the king's speech biography, drama, history stori king georg vi impromptu ascens throne british empir speech therapist help unsur monarch overcom stammer tom hooper colin firth geoffrey rush helena bonham carter derek jacobi"
347,the help,drama,aspir author civil right movement decid write book detail african american maid point view white famili work hardship go daili basi,tate taylor,emma stone,viola davis,octavia spencer,bryce dallas howard,the help drama aspir author civil right movement decid write book detail african american maid point view white famili work hardship go daili basi tate taylor emma stone viola davis octavia spencer bryce dallas howard
