,Series_Title,Genre,Overview,Director,Star1,Star2,Star3,Star4,Concatenated_Text
524,edward scissorhands,"drama, fantasy, romance",artifici man incomplet construct scissor hand lead solitari life one day suburban ladi meet introduc world,tim burton,johnny depp,winona ryder,dianne wiest,anthony michael hall,"edward scissorhands drama, fantasy, romance artifici man incomplet construct scissor hand lead solitari life one day suburban ladi meet introduc world tim burton johnny depp winona ryder dianne wiest anthony michael hall"
525,my left foot: the story of christy brown,"biography, drama",christi brown born cerebr palsi learn paint write control limb left foot,jim sheridan,daniel day-lewis,brenda fricker,alison whelan,kirsten sheridan,"my left foot: the story of christy brown biography, drama christi brown born cerebr palsi learn paint write control limb left foot jim sheridan daniel day-lewis brenda fricker alison whelan kirsten sheridan"
526,crimes and misdemeanors,"comedy, drama",ophthalmologist mistress threaten reveal affair wife marri documentari filmmak infatu anoth woman,woody allen,martin landau,woody allen,bill bernstein,claire bloom,"crimes and misdemeanors comedy, drama ophthalmologist mistress threaten reveal affair wife marri documentari filmmak infatu anoth woman woody allen martin landau woody allen bill bernstein claire bloom"
527,the untouchables,"crime, drama, thriller",era prohibit unit state feder agent eliot ness set stop ruthless chicago gangster al capon rampant corrupt assembl small handpick team help,brian de palma,kevin costner,sean connery,robert de niro,charles martin smith,"the untouchables crime, drama, thriller era prohibit unit state feder agent eliot ness set stop ruthless chicago gangster al capon rampant corrupt assembl small handpick team help brian de palma kevin costner sean connery robert de niro charles martin smith"
528,hannah and her sisters,"comedy, drama",two thanksgiv two year apart hannah husband fall love sister lee hypochondriac exhusband rekindl relationship sister holli,woody allen,mia farrow,dianne wiest,michael caine,barbara hershey,"hannah and her sisters comedy, drama two thanksgiv two year apart hannah husband fall love sister lee hypochondriac exhusband rekindl relationship sister holli woody allen mia farrow dianne wiest michael caine barbara hershey"
529,brazil,"drama, sci-fi",bureaucrat dystop societi becom enemi state pursu woman dream,terry gilliam,jonathan pryce,kim greist,robert de niro,katherine helmond,"brazil drama, sci-fi bureaucrat dystop societi becom enemi state pursu woman dream terry gilliam jonathan pryce kim greist robert de niro katherine helmond"
530,this is spinal tap,"comedy, music",spinal tap one england loudest band chronicl film director marti dibergi prove fate tour,rob reiner,rob reiner,michael mckean,christopher guest,kimberly stringer,"this is spinal tap comedy, music spinal tap one england loudest band chronicl film director marti dibergi prove fate tour rob reiner rob reiner michael mckean christopher guest kimberly stringer"
531,a christmas story,"comedy, family",young boy name ralphi attempt convinc parent teacher santa red ryder bb gun realli perfect christma gift,bob clark,peter billingsley,melinda dillon,darren mcgavin,scott schwartz,"a christmas story comedy, family young boy name ralphi attempt convinc parent teacher santa red ryder bb gun realli perfect christma gift bob clark peter billingsley melinda dillon darren mcgavin scott schwartz"
532,the blues brothers,"action, adventure, comedy",jake blue releas prison put togeth old band save cathol home brother elwood rais,john landis,john belushi,dan aykroyd,cab calloway,john candy,"the blues brothers action, adventure, comedy jake blue releas prison put togeth old band save cathol home brother elwood rais john landis john belushi dan aykroyd cab calloway john candy"
533,manhattan,"comedy, drama, romance",life divorc televis writer date teenag girl complic fall love best friend mistress,woody allen,woody allen,diane keaton,mariel hemingway,michael murphy,"manhattan comedy, drama, romance life divorc televis writer date teenag girl complic fall love best friend mistress woody allen woody allen diane keaton mariel hemingway michael murphy"
534,all that jazz,"drama, music, musical",directorchoreograph bob foss tell life stori detail sordid career joe gideon woman drugus dancer,bob fosse,roy scheider,jessica lange,ann reinking,leland palmer,"all that jazz drama, music, musical directorchoreograph bob foss tell life stori detail sordid career joe gideon woman drugus dancer bob fosse roy scheider jessica lange ann reinking leland palmer"
535,dawn of the dead,"action, adventure, horror",follow evergrow epidem zombi risen dead two philadelphia swat team member traffic report televis execut girlfriend seek refug seclud shop mall,george a. romero,david emge,ken foree,scott h. reiniger,gaylen ross,"dawn of the dead action, adventure, horror follow evergrow epidem zombi risen dead two philadelphia swat team member traffic report televis execut girlfriend seek refug seclud shop mall george a. romero david emge ken foree scott h. reiniger gaylen ross"
536,all the president's men,"biography, drama, history",washington post report bob woodward carl bernstein uncov detail waterg scandal lead presid richard nixon resign,alan j. pakula,dustin hoffman,robert redford,jack warden,martin balsam,"all the president's men biography, drama, history washington post report bob woodward carl bernstein uncov detail waterg scandal lead presid richard nixon resign alan j. pakula dustin hoffman robert redford jack warden martin balsam"
537,la montaña sagrada,"adventure, drama, fantasy",corrupt greedfuel world power alchemist lead messian charact seven materialist figur holi mountain hope achiev enlighten,alejandro jodorowsky,alejandro jodorowsky,horacio salinas,zamira saunders,juan ferrara,"la montaña sagrada adventure, drama, fantasy corrupt greedfuel world power alchemist lead messian charact seven materialist figur holi mountain hope achiev enlighten alejandro jodorowsky alejandro jodorowsky horacio salinas zamira saunders juan ferrara"
538,amarcord,"comedy, drama, family",seri comed nostalg vignett set italian coastal town,federico fellini,magali noël,bruno zanin,pupella maggio,armando brancia,"amarcord comedy, drama, family seri comed nostalg vignett set italian coastal town federico fellini magali noël bruno zanin pupella maggio armando brancia"
539,le charme discret de la bourgeoisie,comedy,surreal virtual plotless seri dream center around six middleclass peopl consist interrupt attempt meal togeth,luis buñuel,fernando rey,delphine seyrig,paul frankeur,bulle ogier,le charme discret de la bourgeoisie comedy surreal virtual plotless seri dream center around six middleclass peopl consist interrupt attempt meal togeth luis buñuel fernando rey delphine seyrig paul frankeur bulle ogier
540,"aguirre, der zorn gottes","action, adventure, biography",th centuri ruthless insan lope de aguirr lead spanish expedit search el dorado,werner herzog,klaus kinski,ruy guerra,helena rojo,del negro,"aguirre, der zorn gottes action, adventure, biography th centuri ruthless insan lope de aguirr lead spanish expedit search el dorado werner herzog klaus kinski ruy guerra helena rojo del negro"
541,harold and maude,"comedy, drama, romance",young rich obsess death harold find chang forev meet live septuagenarian maud funer,hal ashby,ruth gordon,bud cort,vivian pickles,cyril cusack,"harold and maude comedy, drama, romance young rich obsess death harold find chang forev meet live septuagenarian maud funer hal ashby ruth gordon bud cort vivian pickles cyril cusack"
542,patton,"biography, drama, war",world war ii phase career controversi american gener georg patton,franklin j. schaffner,george c. scott,karl malden,stephen young,michael strong,"patton biography, drama, war world war ii phase career controversi american gener georg patton franklin j. schaffner george c. scott karl malden stephen young michael strong"
543,the wild bunch,"action, adventure, western",age group outlaw look one last big score tradit american west disappear around,sam peckinpah,william holden,ernest borgnine,robert ryan,edmond o'brien,"the wild bunch action, adventure, western age group outlaw look one last big score tradit american west disappear around sam peckinpah william holden ernest borgnine robert ryan edmond o'brien"
544,night of the living dead,"horror, thriller",ragtag group pennsylvanian barricad old farmhous remain safe hord flesheat ghoul ravag east coast unit state,george a. romero,duane jones,judith o'dea,karl hardman,marilyn eastman,"night of the living dead horror, thriller ragtag group pennsylvanian barricad old farmhous remain safe hord flesheat ghoul ravag east coast unit state george a. romero duane jones judith o'dea karl hardman marilyn eastman"
545,the lion in winter,"biography, drama, history",ad king henri ii three son want inherit throne wont commit choic wife various plot forc,anthony harvey,peter o'toole,katharine hepburn,anthony hopkins,john castle,"the lion in winter biography, drama, history ad king henri ii three son want inherit throne wont commit choic wife various plot forc anthony harvey peter o'toole katharine hepburn anthony hopkins john castle"
546,in the heat of the night,"crime, drama, mystery",black polic detect ask investig murder racial hostil southern town,norman jewison,sidney poitier,rod steiger,warren oates,lee grant,"in the heat of the night crime, drama, mystery black polic detect ask investig murder racial hostil southern town norman jewison sidney poitier rod steiger warren oates lee grant"
547,charade,"comedy, mystery, romance",romanc suspens ensu pari woman pursu sever men want fortun murder husband stolen trust,stanley donen,cary grant,audrey hepburn,walter matthau,james coburn,"charade comedy, mystery, romance romanc suspens ensu pari woman pursu sever men want fortun murder husband stolen trust stanley donen cary grant audrey hepburn walter matthau james coburn"
548,the manchurian candidate,"drama, thriller",former prison war brainwash unwit assassin intern communist conspiraci,john frankenheimer,frank sinatra,laurence harvey,janet leigh,angela lansbury,"the manchurian candidate drama, thriller former prison war brainwash unwit assassin intern communist conspiraci john frankenheimer frank sinatra laurence harvey janet leigh angela lansbury"
549,spartacus,"adventure, biography, drama",slave spartacu lead violent revolt decad roman republ,stanley kubrick,kirk douglas,laurence olivier,jean simmons,charles laughton,"spartacus adventure, biography, drama slave spartacu lead violent revolt decad roman republ stanley kubrick kirk douglas laurence olivier jean simmons charles laughton"
550,l'avventura,"drama, mystery",woman disappear mediterranean boat trip search lover best friend becom attract,michelangelo antonioni,gabriele ferzetti,monica vitti,lea massari,dominique blanchar,"l'avventura drama, mystery woman disappear mediterranean boat trip search lover best friend becom attract michelangelo antonioni gabriele ferzetti monica vitti lea massari dominique blanchar"
551,hiroshima mon amour,"drama, romance",french actress film antiwar film hiroshima affair marri japanes architect share differ perspect war,alain resnais,emmanuelle riva,eiji okada,stella dassas,pierre barbaud,"hiroshima mon amour drama, romance french actress film antiwar film hiroshima affair marri japanes architect share differ perspect war alain resnais emmanuelle riva eiji okada stella dassas pierre barbaud"
552,the ten commandments,"adventure, drama",mose egyptian princ learn true heritag hebrew divin mission deliver peopl,cecil b. demille,charlton heston,yul brynner,anne baxter,edward g. robinson,"the ten commandments adventure, drama mose egyptian princ learn true heritag hebrew divin mission deliver peopl cecil b. demille charlton heston yul brynner anne baxter edward g. robinson"
553,the searchers,"adventure, drama, western",american civil war veteran embark journey rescu niec comanch,john ford,john wayne,jeffrey hunter,vera miles,ward bond,"the searchers adventure, drama, western american civil war veteran embark journey rescu niec comanch john ford john wayne jeffrey hunter vera miles ward bond"
554,east of eden,drama,two brother struggl maintain strict bibletot father favor,elia kazan,james dean,raymond massey,julie harris,burl ives,east of eden drama two brother struggl maintain strict bibletot father favor elia kazan james dean raymond massey julie harris burl ives
555,high noon,"drama, thriller, western",town marshal despit disagr newlyw bride townspeopl around must face gang deadli killer alon high noon gang leader outlaw sent year ago arriv noon train,fred zinnemann,gary cooper,grace kelly,thomas mitchell,lloyd bridges,"high noon drama, thriller, western town marshal despit disagr newlyw bride townspeopl around must face gang deadli killer alon high noon gang leader outlaw sent year ago arriv noon train fred zinnemann gary cooper grace kelly thomas mitchell lloyd bridges"
556,strangers on a train,"crime, film-noir, thriller",psychopath forc tenni star compli theori two stranger get away murder,alfred hitchcock,farley granger,robert walker,ruth roman,leo g. carroll,"strangers on a train crime, film-noir, thriller psychopath forc tenni star compli theori two stranger get away murder alfred hitchcock farley granger robert walker ruth roman leo g. carroll"
557,harvey,"comedy, drama, fantasy",due insist invis six foottal rabbit best friend whimsic middleag man thought famili insan may wiser anyon know,henry koster,james stewart,wallace ford,william h. lynn,victoria horne,"harvey comedy, drama, fantasy due insist invis six foottal rabbit best friend whimsic middleag man thought famili insan may wiser anyon know henry koster james stewart wallace ford william h. lynn victoria horne"
558,miracle on 34th street,"comedy, drama, family",nice old man claim santa clau institution insan young lawyer decid defend argu court real thing,george seaton,edmund gwenn,maureen o'hara,john payne,gene lockhart,"miracle on 34th street comedy, drama, family nice old man claim santa clau institution insan young lawyer decid defend argu court real thing george seaton edmund gwenn maureen o'hara john payne gene lockhart"
559,notorious,"drama, film-noir, romance",woman ask spi group nazi friend south america far go ingrati,alfred hitchcock,cary grant,ingrid bergman,claude rains,louis calhern,"notorious drama, film-noir, romance woman ask spi group nazi friend south america far go ingrati alfred hitchcock cary grant ingrid bergman claude rains louis calhern"
560,the big sleep,"crime, film-noir, mystery",privat detect philip marlow hire wealthi famili complex case he seen murder blackmail might love,howard hawks,humphrey bogart,lauren bacall,john ridgely,martha vickers,"the big sleep crime, film-noir, mystery privat detect philip marlow hire wealthi famili complex case he seen murder blackmail might love howard hawks humphrey bogart lauren bacall john ridgely martha vickers"
561,the lost weekend,"drama, film-noir",desper life chronic alcohol follow fourday drink bout,billy wilder,ray milland,jane wyman,phillip terry,howard da silva,"the lost weekend drama, film-noir desper life chronic alcohol follow fourday drink bout billy wilder ray milland jane wyman phillip terry howard da silva"
562,the philadelphia story,"comedy, romance",rich woman exhusband tabloidtyp report turn plan remarriag begin learn truth,george cukor,cary grant,katharine hepburn,james stewart,ruth hussey,"the philadelphia story comedy, romance rich woman exhusband tabloidtyp report turn plan remarriag begin learn truth george cukor cary grant katharine hepburn james stewart ruth hussey"
563,his girl friday,"comedy, drama, romance",newspap editor use everi trick book keep ace report exwif remarri,howard hawks,cary grant,rosalind russell,ralph bellamy,gene lockhart,"his girl friday comedy, drama, romance newspap editor use everi trick book keep ace report exwif remarri howard hawks cary grant rosalind russell ralph bellamy gene lockhart"
564,the adventures of robin hood,"action, adventure, romance",princ john norman lord begin oppress saxon mass king richard absenc saxon lord fight back outlaw leader rebel guerrilla armi,michael curtiz,william keighley,errol flynn,olivia de havilland,basil rathbone,"the adventures of robin hood action, adventure, romance princ john norman lord begin oppress saxon mass king richard absenc saxon lord fight back outlaw leader rebel guerrilla armi michael curtiz william keighley errol flynn olivia de havilland basil rathbone"
565,a night at the opera,"comedy, music, musical",sli busi manag two wacki friend two opera singer help achiev success humili stuffi snobbish enemi,sam wood,edmund goulding,groucho marx,chico marx,harpo marx,"a night at the opera comedy, music, musical sli busi manag two wacki friend two opera singer help achiev success humili stuffi snobbish enemi sam wood edmund goulding groucho marx chico marx harpo marx"
566,king kong,"adventure, horror, sci-fi",film crew goe tropic island exot locat shoot discov coloss ape take shine femal blond star captur brought back new york citi public exhibit,merian c. cooper,ernest b. schoedsack,fay wray,robert armstrong,bruce cabot,"king kong adventure, horror, sci-fi film crew goe tropic island exot locat shoot discov coloss ape take shine femal blond star captur brought back new york citi public exhibit merian c. cooper ernest b. schoedsack fay wray robert armstrong bruce cabot"
567,freaks,"drama, horror",circu beauti trapez artist agre marri leader sideshow perform deform friend discov marri inherit,tod browning,wallace ford,leila hyams,olga baclanova,roscoe ates,"freaks drama, horror circu beauti trapez artist agre marri leader sideshow perform deform friend discov marri inherit tod browning wallace ford leila hyams olga baclanova roscoe ates"
568,nosferatu,"fantasy, horror",vampir count orlok express interest new resid real estat agent hutter wife,f.w. murnau,max schreck,alexander granach,gustav von wangenheim,greta schröder,"nosferatu fantasy, horror vampir count orlok express interest new resid real estat agent hutter wife f.w. murnau max schreck alexander granach gustav von wangenheim greta schröder"
569,the gentlemen,"action, comedy, crime",american expat tri sell highli profit marijuana empir london trigger plot scheme briberi blackmail attempt steal domain,guy ritchie,matthew mcconaughey,charlie hunnam,michelle dockery,jeremy strong,"the gentlemen action, comedy, crime american expat tri sell highli profit marijuana empir london trigger plot scheme briberi blackmail attempt steal domain guy ritchie matthew mcconaughey charlie hunnam michelle dockery jeremy strong"
570,raazi,"action, drama, thriller",kashmiri woman agre marri pakistani armi offic order spi pakistan indopakistan war,meghna gulzar,alia bhatt,vicky kaushal,rajit kapoor,shishir sharma,"raazi action, drama, thriller kashmiri woman agre marri pakistani armi offic order spi pakistan indopakistan war meghna gulzar alia bhatt vicky kaushal rajit kapoor shishir sharma"
571,sound of metal,"drama, music",heavymet drummer life thrown freefal begin lose hear,darius marder,riz ahmed,olivia cooke,paul raci,lauren ridloff,"sound of metal drama, music heavymet drummer life thrown freefal begin lose hear darius marder riz ahmed olivia cooke paul raci lauren ridloff"
572,forushande,drama,particip product death salesman teacher wife assault new home leav determin find perpetr wife traumat object,asghar farhadi,shahab hosseini,taraneh alidoosti,babak karimi,mina sadati,forushande drama particip product death salesman teacher wife assault new home leav determin find perpetr wife traumat object asghar farhadi shahab hosseini taraneh alidoosti babak karimi mina sadati
573,dunkirk,"action, drama, history",alli soldier belgium british empir franc surround german armi evacu fierc battl world war ii,christopher nolan,fionn whitehead,barry keoghan,mark rylance,tom hardy,"dunkirk action, drama, history alli soldier belgium british empir franc surround german armi evacu fierc battl world war ii christopher nolan fionn whitehead barry keoghan mark rylance tom hardy"
574,perfetti sconosciuti,"comedy, drama",seven longtim friend get togeth dinner decid share content everi text messag email phone call receiv mani secret start unveil equilibrium trembl,paolo genovese,giuseppe battiston,anna foglietta,marco giallini,edoardo leo,"perfetti sconosciuti comedy, drama seven longtim friend get togeth dinner decid share content everi text messag email phone call receiv mani secret start unveil equilibrium trembl paolo genovese giuseppe battiston anna foglietta marco giallini edoardo leo"
575,hidden figures,"biography, drama, history",stori team femal africanamerican mathematician serv vital role nasa earli year us space program,theodore melfi,taraji p. henson,octavia spencer,janelle monáe,kevin costner,"hidden figures biography, drama, history stori team femal africanamerican mathematician serv vital role nasa earli year us space program theodore melfi taraji p. henson octavia spencer janelle monáe kevin costner"
576,paddington 2,"adventure, comedy, family",paddington ben whishaw happili settl brown famili popular member local commun pick seri odd job buy perfect present aunt luci imelda staunton th birthday gift stolen,paul king,ben whishaw,hugh grant,hugh bonneville,sally hawkins,"paddington 2 adventure, comedy, family paddington ben whishaw happili settl brown famili popular member local commun pick seri odd job buy perfect present aunt luci imelda staunton th birthday gift stolen paul king ben whishaw hugh grant hugh bonneville sally hawkins"
577,udta punjab,"action, crime, drama",stori revolv around drug abus affluent north indian state punjab youth succumb enmass result socioeconom declin,abhishek chaubey,shahid kapoor,alia bhatt,kareena kapoor,diljit dosanjh,"udta punjab action, crime, drama stori revolv around drug abus affluent north indian state punjab youth succumb enmass result socioeconom declin abhishek chaubey shahid kapoor alia bhatt kareena kapoor diljit dosanjh"
578,kubo and the two strings,"animation, action, adventure",young boy name kubo must locat magic suit armour worn late father order defeat veng spirit past,travis knight,charlize theron,art parkinson,matthew mcconaughey,ralph fiennes,"kubo and the two strings animation, action, adventure young boy name kubo must locat magic suit armour worn late father order defeat veng spirit past travis knight charlize theron art parkinson matthew mcconaughey ralph fiennes"
579,m.s. dhoni: the untold story,"biography, drama, sport",untold stori mahendra singh dhoni journey ticket collector trophi collector worldcupwin captain indian cricket team,neeraj pandey,sushant singh rajput,kiara advani,anupam kher,disha patani,"m.s. dhoni: the untold story biography, drama, sport untold stori mahendra singh dhoni journey ticket collector trophi collector worldcupwin captain indian cricket team neeraj pandey sushant singh rajput kiara advani anupam kher disha patani"
580,manchester by the sea,drama,depress uncl ask take care teenag nephew boy father die,kenneth lonergan,casey affleck,michelle williams,kyle chandler,lucas hedges,manchester by the sea drama depress uncl ask take care teenag nephew boy father die kenneth lonergan casey affleck michelle williams kyle chandler lucas hedges
581,under sandet,"drama, history, war",postworld war ii denmark group young german pow forc clear beach thousand land mine watch danish sergeant slowli learn appreci plight,martin zandvliet,roland møller,louis hofmann,joel basman,mikkel boe følsgaard,"under sandet drama, history, war postworld war ii denmark group young german pow forc clear beach thousand land mine watch danish sergeant slowli learn appreci plight martin zandvliet roland møller louis hofmann joel basman mikkel boe følsgaard"
582,rogue one,"action, adventure, sci-fi",daughter imperi scientist join rebel allianc riski move steal plan death star,gareth edwards,felicity jones,diego luna,alan tudyk,donnie yen,"rogue one action, adventure, sci-fi daughter imperi scientist join rebel allianc riski move steal plan death star gareth edwards felicity jones diego luna alan tudyk donnie yen"
583,captain america: civil war,"action, adventure, sci-fi",polit involv aveng affair caus rift captain america iron man,anthony russo,joe russo,chris evans,robert downey jr.,scarlett johansson,"captain america: civil war action, adventure, sci-fi polit involv aveng affair caus rift captain america iron man anthony russo joe russo chris evans robert downey jr. scarlett johansson"
584,the hateful eight,"crime, drama, mystery",dead wyom winter bounti hunter prison find shelter cabin current inhabit collect nefari charact,quentin tarantino,samuel l. jackson,kurt russell,jennifer jason leigh,walton goggins,"the hateful eight crime, drama, mystery dead wyom winter bounti hunter prison find shelter cabin current inhabit collect nefari charact quentin tarantino samuel l. jackson kurt russell jennifer jason leigh walton goggins"
585,little women,"drama, romance",jo march reflect back forth life tell belov stori march sister four young women determin live life term,greta gerwig,saoirse ronan,emma watson,florence pugh,eliza scanlen,"little women drama, romance jo march reflect back forth life tell belov stori march sister four young women determin live life term greta gerwig saoirse ronan emma watson florence pugh eliza scanlen"
586,loving vincent,"animation, biography, crime",stori depict oil paint anim young man come last hometown painter vincent van gogh robert gulaczyk deliv troubl artist final letter end investig final day,dorota kobiela,hugh welchman,douglas booth,jerome flynn,robert gulaczyk,"loving vincent animation, biography, crime stori depict oil paint anim young man come last hometown painter vincent van gogh robert gulaczyk deliv troubl artist final letter end investig final day dorota kobiela hugh welchman douglas booth jerome flynn robert gulaczyk"
587,pride,"biography, comedy, drama",uk gay activist work help miner lengthi strike nation union minework summer,matthew warchus,bill nighy,imelda staunton,dominic west,paddy considine,"pride biography, comedy, drama uk gay activist work help miner lengthi strike nation union minework summer matthew warchus bill nighy imelda staunton dominic west paddy considine"
588,le passé,"drama, mystery",iranian man desert french wife two children return homeland meanwhil wife start new relationship realiti husband confront upon wife request divorc,asghar farhadi,bérénice bejo,tahar rahim,ali mosaffa,pauline burlet,"le passé drama, mystery iranian man desert french wife two children return homeland meanwhil wife start new relationship realiti husband confront upon wife request divorc asghar farhadi bérénice bejo tahar rahim ali mosaffa pauline burlet"
589,la grande bellezza,drama,jep gambardella seduc way lavish nightlif rome decad th birthday shock past jep look past nightclub parti find timeless landscap absurd exquisit beauti,paolo sorrentino,toni servillo,carlo verdone,sabrina ferilli,carlo buccirosso,la grande bellezza drama jep gambardella seduc way lavish nightlif rome decad th birthday shock past jep look past nightclub parti find timeless landscap absurd exquisit beauti paolo sorrentino toni servillo carlo verdone sabrina ferilli carlo buccirosso
590,the lunchbox,"drama, romance",mistaken deliveri mumbai famous effici lunchbox deliveri system connect young housewif older man dusk life build fantasi world togeth note lunchbox,ritesh batra,irrfan khan,nimrat kaur,nawazuddin siddiqui,lillete dubey,"the lunchbox drama, romance mistaken deliveri mumbai famous effici lunchbox deliveri system connect young housewif older man dusk life build fantasi world togeth note lunchbox ritesh batra irrfan khan nimrat kaur nawazuddin siddiqui lillete dubey"
591,vicky donor,"comedy, romance",man brought infertil doctor suppli sperm becom biggest sperm donor clinic,shoojit sircar,ayushmann khurrana,yami gautam,annu kapoor,dolly ahluwalia,"vicky donor comedy, romance man brought infertil doctor suppli sperm becom biggest sperm donor clinic shoojit sircar ayushmann khurrana yami gautam annu kapoor dolly ahluwalia"
592,big hero 6,"animation, action, adventure",special bond develop plussiz inflat robot baymax prodigi hiro hamada togeth team group friend form band hightech hero,don hall,chris williams,ryan potter,scott adsit,jamie chung,"big hero 6 animation, action, adventure special bond develop plussiz inflat robot baymax prodigi hiro hamada togeth team group friend form band hightech hero don hall chris williams ryan potter scott adsit jamie chung"
593,about time,"comedy, drama, fantasy",age tim discov travel time chang happen happen life decis make world better place get girlfriend turn easi might think,richard curtis,domhnall gleeson,rachel mcadams,bill nighy,lydia wilson,"about time comedy, drama, fantasy age tim discov travel time chang happen happen life decis make world better place get girlfriend turn easi might think richard curtis domhnall gleeson rachel mcadams bill nighy lydia wilson"
594,english vinglish,"comedy, drama, family",quiet sweet temper housewif endur small slight welleduc husband daughter everi day inabl speak understand english,gauri shinde,sridevi,adil hussain,mehdi nebbou,priya anand,"english vinglish comedy, drama, family quiet sweet temper housewif endur small slight welleduc husband daughter everi day inabl speak understand english gauri shinde sridevi adil hussain mehdi nebbou priya anand"
595,kaze tachinu,"animation, biography, drama",look life jiro horikoshi man design japanes fighter plane world war ii,hayao miyazaki,hideaki anno,hidetoshi nishijima,miori takimoto,masahiko nishimura,"kaze tachinu animation, biography, drama look life jiro horikoshi man design japanes fighter plane world war ii hayao miyazaki hideaki anno hidetoshi nishijima miori takimoto masahiko nishimura"
596,toy story 4,"animation, adventure, comedy",new toy call forki join woodi gang road trip alongsid old new friend reveal big world toy,josh cooley,tom hanks,tim allen,annie potts,tony hale,"toy story 4 animation, adventure, comedy new toy call forki join woodi gang road trip alongsid old new friend reveal big world toy josh cooley tom hanks tim allen annie potts tony hale"
597,la migliore offerta,"crime, drama, mystery",lone art expert work mysteri reclus heiress find art worth examin,giuseppe tornatore,geoffrey rush,jim sturgess,sylvia hoeks,donald sutherland,"la migliore offerta crime, drama, mystery lone art expert work mysteri reclus heiress find art worth examin giuseppe tornatore geoffrey rush jim sturgess sylvia hoeks donald sutherland"
598,moonrise kingdom,"comedy, drama, romance",pair young lover flee new england town caus local search parti fan find,wes anderson,jared gilman,kara hayward,bruce willis,bill murray,"moonrise kingdom comedy, drama, romance pair young lover flee new england town caus local search parti fan find wes anderson jared gilman kara hayward bruce willis bill murray"
599,how to train your dragon 2,"animation, action, adventure",hiccup toothless discov ice cave home hundr new wild dragon mysteri dragon rider two friend find center battl protect peac,dean deblois,jay baruchel,cate blanchett,gerard butler,craig ferguson,"how to train your dragon 2 animation, action, adventure hiccup toothless discov ice cave home hundr new wild dragon mysteri dragon rider two friend find center battl protect peac dean deblois jay baruchel cate blanchett gerard butler craig ferguson"
600,the big short,"biography, comedy, drama",group investor bet us mortgag market research discov flaw corrupt market,adam mckay,christian bale,steve carell,ryan gosling,brad pitt,"the big short biography, comedy, drama group investor bet us mortgag market research discov flaw corrupt market adam mckay christian bale steve carell ryan gosling brad pitt"
601,kokuhaku,"drama, thriller",psycholog thriller griev mother turn coldblood aveng twisti master plan pay back respons daughter death,tetsuya nakashima,takako matsu,yoshino kimura,masaki okada,yukito nishii,"kokuhaku drama, thriller psycholog thriller griev mother turn coldblood aveng twisti master plan pay back respons daughter death tetsuya nakashima takako matsu yoshino kimura masaki okada yukito nishii"
602,ang-ma-reul bo-at-da,"action, crime, drama",secret agent exact reveng serial killer seri captur releas,jee-woon kim,lee byung-hun,choi min-sik,jeon gook-hwan,ho-jin chun,"ang-ma-reul bo-at-da action, crime, drama secret agent exact reveng serial killer seri captur releas jee-woon kim lee byung-hun choi min-sik jeon gook-hwan ho-jin chun"
603,the girl with the dragon tattoo,"crime, drama, mystery",journalist mikael blomkvist aid search woman miss forti year lisbeth saland young comput hacker,david fincher,daniel craig,rooney mara,christopher plummer,stellan skarsgård,"the girl with the dragon tattoo crime, drama, mystery journalist mikael blomkvist aid search woman miss forti year lisbeth saland young comput hacker david fincher daniel craig rooney mara christopher plummer stellan skarsgård"
604,captain phillips,"adventure, biography, crime",true stori captain richard phillip hijack somali pirat usflag mv maersk alabama first american cargo ship hijack two hundr year,paul greengrass,tom hanks,barkhad abdi,barkhad abdirahman,catherine keener,"captain phillips adventure, biography, crime true stori captain richard phillip hijack somali pirat usflag mv maersk alabama first american cargo ship hijack two hundr year paul greengrass tom hanks barkhad abdi barkhad abdirahman catherine keener"
605,ajeossi,"action, crime, drama",quiet pawnshop keeper violent past take drugandorgan traffick ring hope save child friend,jeong-beom lee,won bin,sae-ron kim,tae-hoon kim,hee-won kim,"ajeossi action, crime, drama quiet pawnshop keeper violent past take drugandorgan traffick ring hope save child friend jeong-beom lee won bin sae-ron kim tae-hoon kim hee-won kim"
606,straight outta compton,"biography, drama, history",rap group nwa emerg mean street compton lo angel california mid revolution hip hop cultur music tale life hood,f. gary gray,o'shea jackson jr.,corey hawkins,jason mitchell,neil brown jr.,"straight outta compton biography, drama, history rap group nwa emerg mean street compton lo angel california mid revolution hip hop cultur music tale life hood f. gary gray o'shea jackson jr. corey hawkins jason mitchell neil brown jr."
607,madeo,"crime, drama, mystery",mother desper search killer frame son girl horrif murder,bong joon ho,hye-ja kim,won bin,jin goo,je-mun yun,"madeo crime, drama, mystery mother desper search killer frame son girl horrif murder bong joon ho hye-ja kim won bin jin goo je-mun yun"
608,chugyeokja,"action, crime, thriller",disgrac expoliceman run small ring prostitut find race time one women goe miss,hong-jin na,kim yoon-seok,jung-woo ha,yeong-hie seo,yoo-jeong kim,"chugyeokja action, crime, thriller disgrac expoliceman run small ring prostitut find race time one women goe miss hong-jin na kim yoon-seok jung-woo ha yeong-hie seo yoo-jeong kim"
